base_coin,period,volatility,timestamp
BTC,30,0.55326938,2025-01-27 20:00:00
BTC,30,0.54667133,2024-12-28 20:00:00
BTC,30,0.54655496,2024-12-28 21:00:00
BTC,30,0.54621937,2024-12-28 22:00:00
BTC,30,0.54625071,2024-12-28 23:00:00
BTC,30,0.54621685,2024-12-29 00:00:00
BTC,30,0.54601299,2024-12-29 01:00:00
BTC,30,0.54528241,2024-12-29 02:00:00
BTC,30,0.5453618,2024-12-29 03:00:00
BTC,30,0.54522994,2024-12-29 04:00:00
BTC,30,0.54522147,2024-12-29 05:00:00
BTC,30,0.54521042,2024-12-29 06:00:00
BTC,30,0.54473004,2024-12-29 07:00:00
BTC,30,0.5445973,2024-12-29 08:00:00
BTC,30,0.54444823,2024-12-29 09:00:00
BTC,30,0.54414441,2024-12-29 10:00:00
BTC,30,0.54395495,2024-12-29 11:00:00
BTC,30,0.54386302,2024-12-29 12:00:00
BTC,30,0.54377712,2024-12-29 13:00:00
BTC,30,0.54297965,2024-12-29 14:00:00
BTC,30,0.54309799,2024-12-29 15:00:00
BTC,30,0.54304123,2024-12-29 16:00:00
BTC,30,0.54269128,2024-12-29 17:00:00
BTC,30,0.54263097,2024-12-29 18:00:00
BTC,30,0.54271008,2024-12-29 19:00:00
BTC,30,0.54271592,2024-12-29 20:00:00
BTC,30,0.54279452,2024-12-29 21:00:00
BTC,30,0.543078,2024-12-29 22:00:00
BTC,30,0.54312059,2024-12-29 23:00:00
BTC,30,0.54332283,2024-12-30 00:00:00
BTC,30,0.54301468,2024-12-30 01:00:00
BTC,30,0.54313349,2024-12-30 02:00:00
BTC,30,0.5431332,2024-12-30 03:00:00
BTC,30,0.5431744,2024-12-30 04:00:00
BTC,30,0.54320846,2024-12-30 05:00:00
BTC,30,0.54308051,2024-12-30 06:00:00
BTC,30,0.54318552,2024-12-30 07:00:00
BTC,30,0.54317666,2024-12-30 08:00:00
BTC,30,0.54315947,2024-12-30 09:00:00
BTC,30,0.54268107,2024-12-30 10:00:00
BTC,30,0.54267257,2024-12-30 11:00:00
BTC,30,0.54258967,2024-12-30 12:00:00
BTC,30,0.54258679,2024-12-30 13:00:00
BTC,30,0.54419174,2024-12-30 14:00:00
BTC,30,0.54505944,2024-12-30 15:00:00
BTC,30,0.54509946,2024-12-30 16:00:00
BTC,30,0.5450917,2024-12-30 17:00:00
BTC,30,0.54901852,2024-12-30 18:00:00
BTC,30,0.54987841,2024-12-30 19:00:00
BTC,30,0.5499259,2024-12-30 20:00:00
BTC,30,0.5498903,2024-12-30 21:00:00
BTC,30,0.55626002,2024-12-30 22:00:00
BTC,30,0.55691818,2024-12-30 23:00:00
BTC,30,0.55690952,2024-12-31 00:00:00
BTC,30,0.5570013,2024-12-31 01:00:00
BTC,30,0.55688706,2024-12-31 02:00:00
BTC,30,0.55655883,2024-12-31 03:00:00
BTC,30,0.55652202,2024-12-31 04:00:00
BTC,30,0.55649293,2024-12-31 05:00:00
BTC,30,0.55653955,2024-12-31 06:00:00
BTC,30,0.55657862,2024-12-31 07:00:00
BTC,30,0.55618301,2024-12-31 08:00:00
BTC,30,0.55760029,2024-12-31 09:00:00
BTC,30,0.55755966,2024-12-31 10:00:00
BTC,30,0.55745955,2024-12-31 11:00:00
BTC,30,0.55735524,2024-12-31 12:00:00
BTC,30,0.55738279,2024-12-31 13:00:00
BTC,30,0.55866599,2024-12-31 14:00:00
BTC,30,0.55860596,2024-12-31 15:00:00
BTC,30,0.5586715,2024-12-31 16:00:00
BTC,30,0.55907003,2024-12-31 17:00:00
BTC,30,0.55966555,2024-12-31 18:00:00
BTC,30,0.55972254,2024-12-31 19:00:00
BTC,30,0.55981251,2024-12-31 20:00:00
BTC,30,0.55976279,2024-12-31 21:00:00
BTC,30,0.55983745,2024-12-31 22:00:00
BTC,30,0.55990529,2024-12-31 23:00:00
BTC,30,0.559845,2025-01-01 00:00:00
BTC,30,0.56034008,2025-01-01 01:00:00
BTC,30,0.5609678,2025-01-01 02:00:00
BTC,30,0.55961627,2025-01-01 03:00:00
BTC,30,0.5596335,2025-01-01 04:00:00
BTC,30,0.55959549,2025-01-01 05:00:00
BTC,30,0.55964535,2025-01-01 06:00:00
BTC,30,0.55955743,2025-01-01 07:00:00
BTC,30,0.55844187,2025-01-01 08:00:00
BTC,30,0.55826389,2025-01-01 09:00:00
BTC,30,0.55790152,2025-01-01 10:00:00
BTC,30,0.55788001,2025-01-01 11:00:00
BTC,30,0.55787011,2025-01-01 12:00:00
BTC,30,0.55741565,2025-01-01 13:00:00
BTC,30,0.55690997,2025-01-01 14:00:00
BTC,30,0.55629689,2025-01-01 15:00:00
BTC,30,0.55544147,2025-01-01 16:00:00
BTC,30,0.55257782,2025-01-01 17:00:00
BTC,30,0.55121987,2025-01-01 18:00:00
BTC,30,0.551233,2025-01-01 19:00:00
BTC,30,0.55133345,2025-01-01 20:00:00
BTC,30,0.55127799,2025-01-01 21:00:00
BTC,30,0.55131765,2025-01-01 22:00:00
BTC,30,0.5511073,2025-01-01 23:00:00
BTC,30,0.55115874,2025-01-02 00:00:00
BTC,30,0.55141167,2025-01-02 01:00:00
BTC,30,0.55115361,2025-01-02 02:00:00
BTC,30,0.55132275,2025-01-02 03:00:00
BTC,30,0.55135397,2025-01-02 04:00:00
BTC,30,0.55186518,2025-01-02 05:00:00
BTC,30,0.55155946,2025-01-02 06:00:00
BTC,30,0.5515482,2025-01-02 07:00:00
BTC,30,0.55162668,2025-01-02 08:00:00
BTC,30,0.55164036,2025-01-02 09:00:00
BTC,30,0.55172399,2025-01-02 10:00:00
BTC,30,0.55162641,2025-01-02 11:00:00
BTC,30,0.55158288,2025-01-02 12:00:00
BTC,30,0.55002258,2025-01-02 13:00:00
BTC,30,0.54719586,2025-01-02 14:00:00
BTC,30,0.54773021,2025-01-02 15:00:00
BTC,30,0.54811732,2025-01-02 16:00:00
BTC,30,0.54825287,2025-01-02 17:00:00
BTC,30,0.54838402,2025-01-02 18:00:00
BTC,30,0.54874898,2025-01-02 19:00:00
BTC,30,0.54870497,2025-01-02 20:00:00
BTC,30,0.54850005,2025-01-02 21:00:00
BTC,30,0.54849797,2025-01-02 22:00:00
BTC,30,0.54853349,2025-01-02 23:00:00
BTC,30,0.54852808,2025-01-03 00:00:00
BTC,30,0.54828326,2025-01-03 01:00:00
BTC,30,0.54807088,2025-01-03 02:00:00
BTC,30,0.54807009,2025-01-03 03:00:00
BTC,30,0.548012,2025-01-03 04:00:00
BTC,30,0.54780571,2025-01-03 05:00:00
BTC,30,0.54780736,2025-01-03 06:00:00
BTC,30,0.54785104,2025-01-03 07:00:00
BTC,30,0.54791379,2025-01-03 08:00:00
BTC,30,0.54793629,2025-01-03 09:00:00
BTC,30,0.54804781,2025-01-03 10:00:00
BTC,30,0.54792572,2025-01-03 11:00:00
